# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,
# Mon Aug 26 11:19:54 2024,,,,,,,,,,,,
id,name,host,numStars,numPlanets,discoveryMethod,discYear,discFacility,controv_flag,mass,temperatureStar,metalRatio,releasedate
1,11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,0,54.030.000,-1,*,2014-07-23
2,11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,0,47.670.000,4742.00,[Fe/H],2014-05-14
3,11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,0,3.909.289,4874.00,[Fe/H],2023-09-19
4,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,79.457.500,4213.00,[Fe/H],2018-09-06
5,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,38.140.000,-1,*,2014-07-23
6,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,78.501.000,4340.00,[Fe/H],2014-05-14
7,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,3.623.244,4888.00,[Fe/H],2023-09-19
8,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,12.710.000,-1,*,2014-07-23
9,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,-1,4813.00,[Fe/H],2014-05-14
10,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,6.039.000,-1,*,2014-05-14
11,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,-1,5280.00,[M/H],2014-08-21
12,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,51.869.596,-1,*,2023-06-12
13,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,4.767.450,5338.00,[Fe/H],2018-09-06
14,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1.907.000,5255.00,[Fe/H],2014-08-21
15,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,4.767.426,5314.94,[Fe/H],2021-09-20
16,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,-1,-1,[Fe/H],2014-08-21
17,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,-1,-1,*,2014-08-21
18,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,1.716.273,5711.97,[Fe/H],2021-09-20
19,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,4.767.450,5674.00,[Fe/H],2015-09-10
20,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,-1,5760.00,[Fe/H],2014-08-21
21,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,2.225.000,5747.00,[M/H],2014-09-18
22,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,2.225.000,-1,*,2014-09-18
23,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,2.542.640,5750.00,[Fe/H],2018-09-06
24,17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,0,4.767.426,4157.00,[Fe/H],2021-10-25
25,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,-1,4979.00,[Fe/H],2014-05-14
26,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,5.085.255,4980.00,[Fe/H],2023-09-19
27,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,9.530.000,-1,*,2014-07-23
